81498	63	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
81591	93	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
81661	70	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
81782	121	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
81897	115	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
81999	102	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82122	123	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82198	76	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82279	81	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82361	82	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82432	71	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
82511	79	64338	5233	91159	6365	119827	4585	2617	122	10062	86	119199	7134	38168	4450	275586	32133
